Events,Description,Year,Start Date,End Date,MongoDb ID
Hambach Festival,A rally began at Hambach Castle where participants demonstrated for the liberalization and unification of the German states.,1832,5/27/1832,5/27/1832,5cfb9f6a86186128f8a01a7b
German Revolution,German revolutions of 1848?49: An assembly in Mannheim adopted a resolution demanding a bill of rights.,1848,2/27/1848,6/18/1849,5cfba46086186128f8a01b3b
Failure of revolution,The Revolution of 1848 failed in its attempt to unify the German-speaking states because the Frankfurt Assembly reflected the many different interests of the German ruling classes. Its members were unable to form coalitions and push for specific goals.,1849,6/18/1849,6/18/1849,5cfd0008f93d3a1592127565
German worker association,The General German Workers' Association was formed on 23rd May.,1863,5/23/1863,5/23/1863,5cfcf2f2f93d3a1592127201
1871 German federal election,"Beginning in 1871, launched the Kulturkampf (?cultural struggle?), a campaign in concert with German liberals against political Catholicism. Liberals saw the Roman Catholic church as politically reactionary and feared the appeal of a clerical party to the more than one-third of Germans who professed Roman Catholicism.",1871,3/21/1871,3/21/1871,5cfe5f2d87783af44872fea0
Pan German league,The Pan-German League was a Pan-German nationalist organization which officially founded in 1891,1891,4/09/1891,4/09/1891,5cfd01cff93d3a159212763e
November Revolution,"German Revolution of 1918?19: The Council of the People's Deputies, a body elected from the workers' councils of Berlin, introduced sweeping liberal reforms including the elimination of the Prussian three-class franchise and women's suffrage.",1918,11/9/1918,8/11/1919,5cfba65686186128f8a01b9a
Weimar constitution,"The Constitution of the German Reich (German: Die Verfassung des Deutschen Reichs), usually known as the Weimar Constitution (Weimarer Verfassung) was the constitution that governed Germany during the Weimar Republic era",1919,8/11/1919,8/11/1919,5cfe1cca87783af44872f903
Kapp Putsch,The Freikorps Marinebrigade Ehrhardt occupied Berlin. Wolfgang Kapp of the national conservative German National People's Party (DNVP) declared himself chancellor.,1920,3/13/1920,3/13/1920,5cfbc35886186128f8a01c39
Bear Hall putsch,"Beer Hall Putsch: Nazi Party chairman Adolf Hitler led some six hundred Sturmabteilung (SA) to the B?rgerbr?ukeller in Munich, where they held Bavarian state officials Gustav Ritter von Kahr, Hans Ritter von Seisser and Otto von Lossow at gunpoint to demand they support a Nazi coup.",1923,11/8/1923,11/8/1923,5cfbc4e086186128f8a01c6f
